Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Isaiah Joe,SG,21,16,212,0.546,0.789,0.07,10.3
Cameron Johnson,PF,24,27,686,0.588,0.687,0.133,13.2
James Johnson,PF,33,23,424,0.55,0.407,0.195,12.3
Keldon Johnson,SF,21,27,812,0.556,0.26,0.321,15.3
Stanley Johnson,PF,24,25,368,0.558,0.597,0.226,9.6
Tyler Johnson,SG,28,13,159,0.616,0.681,0.043,11.1
Nikola Jokić,C,25,28,1006,0.656,0.207,0.3,31.4
Damian Jones,C,25,11,78,0.466,0.1,0.9,3.9
Derrick Jones Jr.,SF,23,24,650,0.556,0.434,0.343,11.3
Mason Jones,SG,22,18,201,0.584,0.569,0.431,11.8
Tre Jones,PG,21,9,27,0.634,0.083,0.417,19.6
Tyus Jones,PG,24,24,565,0.466,0.354,0.078,14.2
DeAndre Jordan,C,32,28,606,0.764,0,0.372,16.7
Cory Joseph,PG,29,27,534,0.551,0.355,0.174,10.8
Mfiondu Kabengele,PF,23,17,69,0.343,0.522,0.174,-0.8
Frank Kaminsky,C,27,20,316,0.531,0.339,0.2,16.2
Enes Kanter,C,28,28,702,0.611,0,0.278,21.9
Luke Kennard,SG,24,29,639,0.599,0.553,0.08,10.8
Maxi Kleber,PF,29,17,435,0.639,0.744,0.209,11.4
Nathan Knight,PF,23,9,54,0.549,0.409,0.364,16.9
Kevin Knox,SF,21,23,373,0.52,0.584,0.106,8.1
John Konchar,SG,24,16,264,0.555,0.393,0.286,13.3
Furkan Korkmaz,SG,23,18,351,0.496,0.577,0.123,8.1
Luke Kornet,PF,25,6,43,0.302,0.786,0.143,3.7
Rodions Kurucs,SF-PF,22,14,73,0.383,0.7,0.1,3.2
Rodions Kurucs,PF,22,5,16,0.5,0.667,0,7.6
Rodions Kurucs,SF,22,9,57,0.364,0.706,0.118,2
Kyle Kuzma,SF,25,29,724,0.546,0.482,0.094,13.1
Jeremy Lamb,SG,28,16,401,0.676,0.477,0.3,17.8
Zach LaVine,SG,25,27,962,0.649,0.42,0.272,22.7
Jake Layman,SF,26,19,292,0.583,0.402,0.25,13
Jalen Lecque,PG,20,3,9,0.47,0.25,0.75,24.2
Damion Lee,SG,28,29,561,0.609,0.791,0.158,11.2
Saben Lee,PG,21,8,70,0.489,0.071,0.714,7
Alex Len,C,27,20,292,0.667,0.253,0.453,15.5
